co_art,Modelo,Descripción,Sub-Línea,Marca,P1 C/IVA,P2 C/IVA,DSP
301281,OGGE3702,MICROONDAS OSTER 0.7 CU.FT. NEGRO,MICROONDAS,OSTER,"149,99","89,99",10
301302,WVW51UC0LS,CAMPANA D/PARED WHIRLPOOL 76 CM ACERO,CAMPANAS,WHIRLPOOL,"934,99","549,99",8
301304,LWFR3200D,"COCINA A GAS WHIRLPOOL 6 QUEM 30"" ACERO",COCINAS,WHIRLPOOL,"1.334,99","799,99",1
301307,TR951,TOPE ELECT VITRO 5 QUEM 90 CM VITRO/DIG NEGRO,TOPES,TEKA,"1.669,99","969,99",2
301308,WOE120S,"HORNO ELECT WHIRLPOOL 24"" MANUAL CONVEC ACERO",HORNOS,WHIRLPOOL,"999,99","599,99",4
301309,WHT6030S,CAMPANA TELESCOPICA RETRACTIL WHIRLPOOL 60 CM ACERO,CAMPANAS,WHIRLPOOL,"429,99","254,99",2
301312,WP2420S,TOPE A GAS WHIRLPOOL 4 QUEM 60 CM ACERO,TOPES,WHIRLPOOL,"584,99","349,99",4
301313,WP3040S,TOPE A GAS WHIRLPOOL 5 QUEM 76 CM ACERO,TOPES,WHIRLPOOL,"669,99","399,99",2
301314,WP3550S,TOPE A GAS WHIRLPOOL 5 QUEM 90 CM ACERO,TOPES,WHIRLPOOL,"609,99","364,99",1
301316,KVWB600DSS,CAMPANA D/PARED KITCHENAID 76 CM ACERO,CAMPANAS,KITCHENAID,"2.109,99","1.269,99",2
301324,COIFAHELIA90,CAMPANA D/PARED APELSON 90 CM APELC90 ACERO,CAMPANAS,APELSON,"334,98","200,00",1
301325,BCNL290BJ,CAMPANA D/PARED BACCO 90 CM ACERO,CAMPANAS,BACCO,"919,98","529,99",2
301326,BCCP35BJ,CAMPANA D/PARED BACCO 35 CM CILINDRICA ACERO,CAMPANAS,BACCO,"734,99","424,99",2
301327,HLF840SS,"HORNO ELECT TEKA 30"" MANUAL MULTIFUNCION NEGRO",HORNOS,TEKA,"2.799,99","1.679,99",4
301331,HCB6646P,"HORNO ELECT TEKA 24"" MANUAL PIROLITICO NEGRO",HORNOS,TEKA,"1.669,99","999,99",2
301332,WH7610S,CAMPANA P/EMP WHIRLPOOL 76 CM ACERO,CAMPANAS,WHIRLPOOL,"359,99","214,99",6
301333,WHL6030S,CAMPANA P/EMP WHIRLPOOL 60 CM CANOPIO ACERO,CAMPANAS,WHIRLPOOL,"409,99","239,99",1
301335,PALAC60XV,CAMPANA D/PARED COCINART 60 CM LACIO VETRO ACERO,CAMPANAS,COCINART,"359,99","214,99",2
301336,PALAC75XV,CAMPANA D/PARED COCINART 75 CM LACIO VETRO ACERO,CAMPANAS,COCINART,"359,99","214,99",2
