id,Nombre,Prioridad,Valores de las variantes,Cantidad a mano,Unidad de medida,Precio de�venta,Etiquetas de producto,Descripcion,Modelo y ano del vehiculo
58,Cargo Negro Weathertech  (und) Explorer 11-15/16+/Montero Sport 14+,Media,,2.0,unds,140.0,,,Explorer 11-15/16+/Montero Sport 14+
59,Cargo negra Weathertech  (und) Corolla 11-13,Media,,0.0,unds,160.0,,,Corolla 11-13
60,Cargo Negro Weathertech  (und) Mustang 05-14,Media,,0.0,unds,140.0,,,Mustang 05-14
61,Cargo Negro Weathertech  (und) Corolla 14-19,Media,,0.0,unds,140.0,,,Corolla 14-19
62,Cargo Negro Weathertech  (und) Jeep JK 2014+,Media,,0.0,Srv,0.0,,,Jeep JK 2014+
63,Cargo Negro Weathertech  (und) Lancer,Media,,0.0,unds,140.0,,,Lancer
64,Cargo Negro Weathertech  (und) Camry 17+,Media,,1.0,unds,140.0,,,Camry 17+
65,Cargo Negro Weathertech  (und) Ecosport 15+,Media,,0.0,unds,140.0,,,Ecosport 15+
66,Cargo Negro Weathertech  (und) Yaris Belts,Media,,0.0,unds,0.0,,,Yaris Belts
67,Cargo Negro Weathertech  (und) Tucson 16-18,Media,,0.0,unds,140.0,,,Tucson 16-18
68,Cargo negro Weathertech  (und) Mustang 15-21,Media,,0.0,unds,160.0,,,Mustang 15-21
69,Cargo Negro Weathertech  (und) Yaris 19-20,Media,,0.0,unds,140.0,,,Yaris 19-20
70,Cargo Negro Weathertech  (und) Yaris 16-19,Media,,1.0,unds,140.0,,,Yaris 16-19
71,Cargo Negro Weathertech  (und) Fortuner Dubai,Media,,1.0,unds,140.0,,,Fortuner Dubai
72,Cargo Negro Weathertech  (und) Montero Sport Dubai,Media,,1.0,unds,140.0,,,Montero Sport Dubai
73,Cargo Beige Weathertech  (und) Autana,Media,,1.0,unds,170.0,,,Autana
74,Cargo Beige Weathertech  (und) Explorer 06-10,Media,,0.0,unds,160.0,,,Explorer 06-10
75,Cargo Beige Weathertech  (und) 4Runner 03-09,Media,,2.0,unds,160.0,,,4Runner 03-09
76,Cargo beige Weathertech  (S/3F) (und) Fortuner Nac,Media,,1.0,unds,160.0,,,Fortuner Nac
77,Cargo Beige Weathertech  (und) Roraima,Media,,1.0,unds,160.0,,,Roraima
78,Cargo Beige WeatherTech  (und) Fortuner Nac,Media,,1.0,unds,160.0,,,Fortuner Nac
79,Cargo Gris Weathertech  (und) Corolla 20,Media,,0.0,unds,140.0,,,Corolla 20
80,Cargo Gris Weathertech  (und) 4Runner 03-09,Media,,0.0,unds,140.0,,,4Runner 03-09
81,Cargo Gris Weathertech  (und) Meru,Media,,0.0,unds,140.0,,,Meru
82,Cargo Cacao Weathertech  (und) Prado 2020,Media,,0.0,unds,160.0,,,Prado 2020
83,Cargo Cocoa Weathertech  (und) Fortuner Dubai,Media,,0.0,unds,140.0,,,Fortuner Dubai
84,Floorliners Negro 1era Fila Weathertech Dodge Ram 2500 2008  (und),Media,,0.0,unds,190.0,,,
85,Floorliners Negros Weathertech  (und) FX4 05-10 / F150 04-08,Media,,0.0,unds,260.0,,,FX4 05-10 / F150 04-08
86,Floorliners Negro Weathertech  (und) 4Runner 03-09,Media,,1.0,unds,260.0,,,4Runner 03-09
87,Floorliners Negro Weathertech  (und) Wk 05-10/Commander,Media,,1.0,unds,260.0,,,Wk 05-10/Commander
88,Floorliners  (C/3F) Negra Weathertech (und) Explorer 06-10,Media,,1.0,unds,390.0,,,Explorer 06-10
89,Floorliners Negro Weathertech  (und) Vw Touareg 04-08,Media,,0.0,unds,260.0,,,Vw Touareg 04-08
90,Floorliners Negro Weathertech  (und) F-150 00-04,Media,,1.0,unds,260.0,,,F-150 00-04
91,Floorliners Negro Weathertech  (und) Wj 99-04,Media,,1.0,unds,260.0,,,Wj 99-04
92,Floorliners Negro Weathertech  (und) Tahoe 07-14,Media,,0.0,unds,260.0,,,Tahoe 07-14
93,Segunda fila negra Weathertech  (und) Silverado,Media,,2.0,unds,190.0,,,Silverado
94,Floorliners 1era Fila separadas Weathertech  (und)  Silverado / Tahoe 07-11,Media,,0.0,unds,220.0,,,Silverado / Tahoe 07-11
95,Floorliners Negro Weathertech  (und) Camry 07-11,Media,,0.0,unds,260.0,,,Camry 07-11
96,Floorliners Negro Weathertech  (und) Caliber 07-12 / Compass 07-17,Media,,1.0,unds,260.0,,,Caliber 07-12 / Compass 07-17
97,Floorliners Negro Weathertech  (2 filas) (und) Luv Dmax 05-11,Media,,1.0,unds,260.0,,,Luv Dmax 05-11
98,Floorliners  (S/3F) Negra Weathertechh (und) Fortuner Nac 06-09,Media,,0.0,unds,290.0,,,Fortuner Nac 06-09
99,2da fila negra WeatherTech  (und) Fortuner Nac 13+,Baja,,0.0,unds,150.0,,,Fortuner Nac 13+
100,Floorliner 3era Fila Negro Weathertech  (und) Fortuner Nac,Media,,11.0,unds,120.0,,,Fortuner Nac
101,Floorliners Negra Weathertech  (und) Meru,Media,,0.0,unds,260.0,,,Meru
102,Floorliners Negro Weathertech  (und) Fiesta Power,Media,,1.0,unds,260.0,,,Fiesta Power
103,Floorliners negros Weathertech  (und) Corolla 17-19 Automatic,Media,,0.0,unds,260.0,,,Corolla 17-19 Automatic
104,Floorliners Negro Weathertech  (und) Chery Orinoco,Media,,0.0,unds,260.0,,,Chery Orinoco
105,Floorliners Negros Weathertech  (und) Tacoma 18-21,Media,,0.0,unds,260.0,,,Tacoma 18-21
106,Floorliners Negro Weathertech  (und) Mustang 05-10,Media,,0.0,unds,260.0,,,Mustang 05-10
107,Floorliners Negro Weathertech Suzuki Swift 2022,Baja,,1.0,unds,1.0,,,
108,Floorliners Negro Weathertech  (und) Mazda 3  04-09,Media,,1.0,unds,260.0,,,Mazda 3  04-09
109,Floorliners Negro Weathertech  (und) Honda Accord 08-12,Media,,2.0,unds,260.0,,,Honda Accord 08-12
110,Primera Fila Negro Weathertech  (und) Corolla 20-21,Media,,0.0,unds,260.0,,,Corolla 20-21
111,Floorliners Negro WeatherTech  (und) Corolla 20-21,Media,,1.0,unds,260.0,,,Corolla 20-21
112,1ra fila negra WeatherTech  (und) Corolla 20+,Media,,0.0,unds,150.0,,,Corolla 20+
113,2da fila negra WeatherTech  (und) Corolla 20+,Baja,,0.0,unds,150.0,,,Corolla 20+
114,Floorliners Negros Weathertech  (und) Prado 2018-2023 LC150,Media,,1.0,unds,260.0,,,Prado 2018-2023 LC150
115,2da fila negra WeatherTech  (und) Roraima 08+,Baja,,0.0,unds,150.0,,,Roraima 08+
116,Floorliners weathertech negro  (und) Tucson 19-21,Media,,1.0,unds,260.0,,,Tucson 19-21
117,Flooliners  (C/3F) Negra Weathertech (und) Explorer  2020+,Media,,1.0,unds,460.0,,,Explorer  2020+
118,Floorliner Weathertech Negro  (und) Hyundai Elantra 22+,Media,,0.0,unds,260.0,,,Hyundai Elantra 22+
119,Floorliners Weathertech Negro  (und) Hyundai Tucson 2022,Media,,0.0,unds,260.0,,,Hyundai Tucson 2022
120,Floorliners Negro Weathertech  (und) Mitsubishi Outlander 2022+,Baja,,0.0,unds,1.0,,,Mitsubishi Outlander 2022+
121,Floorliners negro WeatherTech 4x2/4x4  (und) Corolla Cross 20+,Media,,1.0,unds,260.0,,,Corolla Cross 20+
122,Floorliner WeatherTech Negro 1Era y 2Da Fila FORD Territory 2024+,Baja,,1.0,unds,260.0,,,
123,Floorliner Weathertech Yaris Sedan 23-25 G/E Negro,Baja,,1.0,unds,1.0,,,
124,Floorliners Negro Weathertech  (und) Corolla Explosion 09-15,Media,,1.0,unds,260.0,,,Corolla Explosion 09-15
125,Floorliners Negro Weathertech  (und) Corolla New Sens 03-08,Media,,0.0,unds,260.0,,,Corolla New Sens 03-08
126,Floorliners Negros Weathertech  (und) Prado LC250 2024+,Baja,,2.0,unds,290.0,,,Prado LC250 2024+
127,Floorliners Negro Weathertech  (und) Grand Vitara 06-13,Media,,1.0,unds,260.0,,,Grand Vitara 06-13
128,Floorliners Negro Weathertech  (und) Terios Bego 07-15,Media,,0.0,unds,260.0,,,Terios Bego 07-15
129,Floorliners Negro Weathertech  (und) Lancer 08-17,Media,,0.0,unds,260.0,,,Lancer 08-17
130,Floorliners Negros Weathertech  (und) Aveo 07-10,Media,,0.0,unds,260.0,,,Aveo 07-10
131,Floorliners Cabina Sencilla Corrida Negro Weathertech  (und) Silverado 07-11,Media,,0.0,unds,220.0,,,Silverado 07-11
132,Floorliners Negro Weathertech  (und) Fj Cruiser 07-11,Media,,1.0,unds,260.0,,,Fj Cruiser 07-11
133,Floorliner Negro DOBLE CABINA Weathertech  (und) F250/F350/F450/F550 11-12,Media,,0.0,unds,250.0,,,F250/F350/F450/F550 11-12
134,Floorliners Negro Weathertech  (und) Fiesta 14-19/Ecosport 15+,Media,,0.0,unds,260.0,,,Fiesta 14-19/Ecosport 15+
135,Floorliners Negro Weathertech  (und) Grand cherokee Wk2 11-13,Media,,3.0,unds,260.0,,,Grand cherokee Wk2 11-13
136,Floorliners Negro  (S/3F) Weathertech Explorer 11-15,Media,,0.0,unds,390.0,,,Weathertech Explorer 11-15
137,Floorliners  (C/3F) Negro Weathertech (und) Explorer 11-15,Media,,3.0,unds,390.0,,,Explorer 11-15
138,Tercera Fila negra Weathertech  (und) Explorer 11-15,Media,,4.0,unds,120.0,,,Explorer 11-15
139,Floorliners Negro Weathertech  (und) 4Runner 10-12,Media,,0.0,unds,260.0,,,4Runner 10-12
140,Floorliners Negro Weathertech  (und) Honda Civic Emotion 06-10,Media,,0.0,unds,260.0,,,Honda Civic Emotion 06-10
141,Floorliners Negro Weathertech  (und) Liberty Kk 08-12,Media,,1.0,unds,260.0,,,Liberty Kk 08-12
142,Floorliners Corrida Negra Doble Cabina S/Palanca Weathertech  (und) Super Duty 250,Media,,0.0,unds,290.0,,,Super Duty 250
143,Floorliners Negro Weathertech  (und) Tundra 14-21,Media,,0.0,unds,260.0,,,Tundra 14-21
144,1era fila negra WeatherTech  (und) Roraima 08+,Media,,0.0,unds,150.0,,,Roraima 08+
145,Floorliners Negro WeatherTech  (und) Roraima 12+ / Lexus LX570,Media,,1.0,unds,260.0,,,Roraima 12+ / Lexus LX570
146,Floorliners Negro Cabina Sencilla Weathertech  (und) Dodge Ram 12-18,Media,,1.0,unds,260.0,,,Dodge Ram 12-18
147,Floorliners Negro Weathertech  (und) Grand Cherokee 4G/5G 14-19,Media,,0.0,unds,260.0,,,Grand Cherokee 4G/5G 14-19
148,Floorliners Negro Weathertech  (und) 4Runner 13+ Trd/Limited,Media,,3.0,unds,260.0,,,4Runner 13+ Trd/Limited
149,Floorliners Negro Weathertech  (und) Hilux Kavak,Media,,0.0,unds,260.0,,,Hilux Kavak
150,1era fila negra WeatherTech  (und) Fortuner 13+,Baja,,2.0,unds,150.0,,,Fortuner 13+
151,Floorliners  (C/3F) Negro Weathertech (und) Fortuner Nac 09+,Media,,2.0,unds,390.0,,,Fortuner Nac 09+
152,Floorliners  (S/3F) Negro Weathertech (und) Fortuner Nac 09+,Media,,1.0,unds,260.0,,,Fortuner Nac 09+
153,Floorliners negro Weathertech  (und) Ford Ranger 12-19,Media,,0.0,unds,260.0,,,Ford Ranger 12-19
154,Floorliners Negro Weathertech  (und) Cruze 11-14,Media,,0.0,unds,260.0,,,Cruze 11-14
155,Floorliners Negro Weathertech  (und) Autana,Media,,0.0,unds,260.0,,,Autana
156,Floorliners Negro Weathertech  (und) Corolla 14-16,Media,,0.0,unds,260.0,,,Corolla 14-16
157,Floorliners Negro Weathertech  (und) Tucson 05-09 / Kia Sportage 06-12,Media,,1.0,unds,260.0,,,Tucson 05-09 / Kia Sportage 06-12
158,Floorliners Negro Weathertech  (und) Mustang 15-20,Media,,0.0,unds,260.0,,,Mustang 15-20
159,Floorliners  (C/3F) Negro Weathertech (und) Explorer 16+,Media,,0.0,unds,390.0,,,Explorer 16+
160,Floorliners Negro WeatherTech  (und) Montero Sport 14+,Media,,1.0,unds,260.0,,,Montero Sport 14+
161,1era fila negra WeatherTech  (und) Montero Sport 14+,Baja,,0.0,unds,150.0,,,Montero Sport 14+
162,2da fila negra WeatherTech  (und) Montero Sport 14+,Baja,,0.0,unds,150.0,,,Montero Sport 14+
163,Floorliners Negro Weathertech  (und) Camry 15-17,Media,,0.0,unds,260.0,,,Camry 15-17
164,Floorliners Negro Weathertech  (und) Tucson 16-18,Media,,0.0,unds,260.0,,,Tucson 16-18
165,Floorliners Negro Weathertech  (und) Yaris 17-20,Media,,0.0,unds,260.0,,,Yaris 17-20
166,Floorliners Negro Weathertech  (und) Tacoma 16-17 Automatic,Media,,0.0,unds,260.0,,,Tacoma 16-17 Automatic
167,Floorliners Negro Weathertech  (und) Hilux Revo,Media,,2.0,unds,260.0,,,Hilux Revo
168,Floorliners  (S/3F) Negro Weathertech (und) Fortuner Dubai,Media,,0.0,unds,260.0,,,Fortuner Dubai
169,Floorliners  (C/3F) Negro Weathertech (und) Fortuner Dubai,Media,,1.0,unds,390.0,,,Fortuner Dubai
170,Floorliners 3era Fila Negro Weathertech  (und) Fortuner Dubai,Media,,0.0,unds,120.0,,,Fortuner Dubai
171,Floorliners Negro Weathertech  (und) Yaris 16-19,Media,,1.0,unds,260.0,,,Yaris 16-19
172,Floorliners Negro Weathertech  (und) Mitsubishi L200 16-20,Media,,1.0,unds,260.0,,,Mitsubishi L200 16-20
173,Floorliners  (S/3F) Negro Weathertech Montero Sport (und) Dubai,Media,,0.0,unds,260.0,,,Dubai
174,Floorliners  (C/3F) Negro Weathertech Montero (und) Sport Dubai,Media,,1.0,unds,390.0,,,Sport Dubai
